,precision,recall,f1-score,support
Hyundai Veloster Hatchback 2012,0.9047619047619048,0.926829268292683,0.9156626506024096,41.0
Hyundai Santa Fe SUV 2012,0.972972972972973,0.8571428571428571,0.9113924050632911,42.0
Hyundai Tucson SUV 2012,0.9285714285714286,0.9069767441860465,0.9176470588235294,43.0
Hyundai Veracruz SUV 2012,0.6666666666666666,0.8095238095238095,0.7311827956989247,42.0
Hyundai Sonata Hybrid Sedan 2012,0.8571428571428571,0.9090909090909091,0.8823529411764706,33.0
Hyundai Elantra Sedan 2007,0.74,0.8809523809523809,0.8043478260869565,42.0
Hyundai Accent Sedan 2012,0.8461538461538461,0.9166666666666666,0.88,24.0
Hyundai Genesis Sedan 2012,0.8863636363636364,0.9069767441860465,0.896551724137931,43.0
Hyundai Sonata Sedan 2012,0.9333333333333333,0.717948717948718,0.8115942028985508,39.0
Hyundai Elantra Touring Hatchback 2012,0.8043478260869565,0.8809523809523809,0.8409090909090909,42.0
Hyundai Azera Sedan 2012,0.8292682926829268,0.8095238095238095,0.8192771084337349,42.0
Infiniti G Coupe IPL 2012,0.967741935483871,0.8823529411764706,0.9230769230769231,34.0
Infiniti QX56 SUV 2011,0.9333333333333333,0.875,0.9032258064516129,32.0
Isuzu Ascender SUV 2008,0.9743589743589743,0.95,0.9620253164556962,40.0
Jaguar XK XKR 2012,0.6607142857142857,0.8043478260869565,0.7254901960784313,46.0
Jeep Patriot SUV 2012,0.7592592592592593,0.9318181818181818,0.8367346938775511,44.0
Jeep Wrangler SUV 2012,1.0,0.9767441860465116,0.9882352941176471,43.0
Jeep Liberty SUV 2012,0.9705882352941176,0.75,0.8461538461538461,44.0
Jeep Grand Cherokee SUV 2012,0.8837209302325582,0.8444444444444444,0.8636363636363636,45.0
Jeep Compass SUV 2012,0.9,0.8571428571428571,0.8780487804878049,42.0
Lamborghini Reventon Coupe 2008,0.8717948717948718,0.9444444444444444,0.9066666666666666,36.0
Lamborghini Aventador Coupe 2012,0.9473684210526315,0.8372093023255814,0.8888888888888888,43.0
Lamborghini Gallardo LP 570-4 Superleggera 2012,0.9655172413793104,0.8,0.875,35.0
Lamborghini Diablo Coupe 2001,0.8636363636363636,0.8636363636363636,0.8636363636363636,44.0
Land Rover Range Rover SUV 2012,0.975609756097561,0.9523809523809523,0.963855421686747,42.0
Land Rover LR2 SUV 2012,0.8372093023255814,0.8571428571428571,0.8470588235294118,42.0
Lincoln Town Car Sedan 2011,1.0,0.9487179487179487,0.9736842105263158,39.0
MINI Cooper Roadster Convertible 2012,0.8292682926829268,0.9444444444444444,0.8831168831168831,36.0
Maybach Landaulet Convertible 2012,0.9354838709677419,1.0,0.9666666666666667,29.0
Mazda Tribute SUV 2011,0.96875,0.8611111111111112,0.9117647058823529,36.0
McLaren MP4-12C Coupe 2012,0.8163265306122449,0.9090909090909091,0.8602150537634409,44.0
Mercedes-Benz 300-Class Convertible 1993,0.9333333333333333,0.875,0.9032258064516129,48.0
Mercedes-Benz C-Class Sedan 2012,0.9,0.8,0.8470588235294118,45.0
Mercedes-Benz SL-Class Coupe 2009,0.7894736842105263,0.8333333333333334,0.8108108108108109,36.0
Mercedes-Benz E-Class Sedan 2012,0.6461538461538462,0.9767441860465116,0.7777777777777778,43.0
Mercedes-Benz S-Class Sedan 2012,0.8863636363636364,0.8863636363636364,0.8863636363636364,44.0
Mercedes-Benz Sprinter Van 2012,0.7090909090909091,0.9512195121951219,0.8125,41.0
Mitsubishi Lancer Sedan 2012,0.8431372549019608,0.9148936170212766,0.8775510204081632,47.0
Nissan Leaf Hatchback 2012,0.975609756097561,0.9523809523809523,0.963855421686747,42.0
Nissan NV Passenger Van 2012,0.8372093023255814,0.9473684210526315,0.8888888888888888,38.0
Nissan Juke Hatchback 2012,0.7916666666666666,0.8636363636363636,0.8260869565217391,44.0
Nissan 240SX Coupe 1998,0.875,0.9130434782608695,0.8936170212765957,46.0
Plymouth Neon Coupe 1999,0.9534883720930233,0.9318181818181818,0.9425287356321839,44.0
Porsche Panamera Sedan 2012,0.8085106382978723,0.8837209302325582,0.8444444444444444,43.0
Ram C/V Cargo Van Minivan 2012,0.967741935483871,0.7317073170731707,0.8333333333333334,41.0
Rolls-Royce Phantom Drophead Coupe Convertible 2012,0.9,0.9,0.9,30.0
Rolls-Royce Ghost Sedan 2012,0.68,0.8947368421052632,0.7727272727272727,38.0
Rolls-Royce Phantom Sedan 2012,0.85,0.7727272727272727,0.8095238095238095,44.0
Scion xD Hatchback 2012,0.9166666666666666,0.8048780487804879,0.8571428571428571,41.0
Spyker C8 Convertible 2009,0.8717948717948718,0.7555555555555555,0.8095238095238095,45.0
Spyker C8 Coupe 2009,0.6530612244897959,0.7619047619047619,0.7032967032967034,42.0
Suzuki Aerio Sedan 2007,0.7567567567567568,0.7368421052631579,0.7466666666666667,38.0
Suzuki Kizashi Sedan 2012,0.7222222222222222,0.8478260869565217,0.78,46.0
Suzuki SX4 Hatchback 2012,0.7647058823529411,0.9285714285714286,0.8387096774193549,42.0
Suzuki SX4 Sedan 2012,0.7297297297297297,0.675,0.7012987012987013,40.0
Tesla Model S Sedan 2012,0.9459459459459459,0.9210526315789473,0.9333333333333333,38.0
Toyota Sequoia SUV 2012,0.96875,0.8157894736842105,0.8857142857142857,38.0
Toyota Camry Sedan 2012,0.9473684210526315,0.8372093023255814,0.8888888888888888,43.0
Toyota Corolla Sedan 2012,0.8918918918918919,0.7674418604651163,0.825,43.0
Toyota 4Runner SUV 2012,0.9523809523809523,1.0,0.975609756097561,40.0
Volkswagen Golf Hatchback 2012,0.9166666666666666,0.7674418604651163,0.8354430379746836,43.0
Volkswagen Golf Hatchback 1991,0.9111111111111111,0.8913043478260869,0.9010989010989011,46.0
Volkswagen Beetle Hatchback 2012,0.7755102040816326,0.9047619047619048,0.8351648351648352,42.0
Volvo C30 Hatchback 2012,0.8780487804878049,0.8780487804878049,0.8780487804878049,41.0
Volvo 240 Sedan 1993,0.9347826086956522,0.9555555555555556,0.945054945054945,45.0
Volvo XC90 SUV 2007,0.8043478260869565,0.8604651162790697,0.8314606741573034,43.0
smart fortwo Convertible 2012,1.0,0.875,0.9333333333333333,40.0
accuracy,0.840567093645069,0.840567093645069,0.840567093645069,0.840567093645069
macro avg,0.8477934862682991,0.8398717022129158,0.8397990442612122,8041.0
weighted avg,0.848070398207175,0.840567093645069,0.8402936470697967,8041.0
